ticker,period_end,freq,revenue,cost_of_revenue,gross_profit,operating_income,ebit,net_income,research_development,interest_expense,eps_diluted,shares_diluted,total_assets,total_liabilities,stockholder_equity,cash,short_term_investments,long_term_debt,total_debt,shares_outstanding,cfo,capex,fcf,depreciation,stock_based_compensation,source,as_of_date,id,created_date,updated_date,created_by_id,created_by,is_sample
"ADBE","2021-11-30","annual","15785000000","","","","0","4822000000","","","","","","","","","","","","","","","","","","yahoo","2025-10-06","68e3aec5c48369164549dab8","2025-10-06T11:57:57.683000","2025-10-06T11:57:57.683000","service_219ddb3d-6563-48e9-aeba-a0667aa26036","service+219ddb3d-6563-48e9-aeba-a0667aa26036@no-reply.base44.com","false"
"ADBE","2022-11-30","annual","17606000000","","","","0","4756000000","","","","","","","","","","","","","","","","","","yahoo","2025-10-06","68e3aec5f7f0b84fafec1f67","2025-10-06T11:57:57.351000","2025-10-06T11:57:57.351000","service_219ddb3d-6563-48e9-aeba-a0667aa26036","service+219ddb3d-6563-48e9-aeba-a0667aa26036@no-reply.base44.com","false"
"ADBE","2023-11-30","annual","19409000000","","","","0","5428000000","","","","","","","","","","","","","","","","","","yahoo","2025-10-06","68e3aec42048bae1ba4ff711","2025-10-06T11:57:56.994000","2025-10-06T11:57:56.994000","service_219ddb3d-6563-48e9-aeba-a0667aa26036","service+219ddb3d-6563-48e9-aeba-a0667aa26036@no-reply.base44.com","false"
"ADBE","2024-11-30","annual","21505000000","","","","0","5560000000","","","","","","","","","","","","","","","","","","yahoo","2025-10-06","68e3aec4c1e9de12784e810a","2025-10-06T11:57:56.692000","2025-10-06T11:57:56.692000","service_219ddb3d-6563-48e9-aeba-a0667aa26036","service+219ddb3d-6563-48e9-aeba-a0667aa26036@no-reply.base44.com","false"
"ADBE","2024-11-30","quarterly","5606000000","","","","0","1683000000","","","","","","","","","","","","","","","","","","yahoo","2025-10-06","68e3aec4e4c63ca62583d364","2025-10-06T11:57:56.391000","2025-10-06T11:57:56.391000","service_219ddb3d-6563-48e9-aeba-a0667aa26036","service+219ddb3d-6563-48e9-aeba-a0667aa26036@no-reply.base44.com","false"
"ADBE","2025-02-28","quarterly","5714000000","","","","0","1811000000","","","","","","","","","","","","","","","","","","yahoo","2025-10-06","68e3aec3ed8347acfe3cc4d9","2025-10-06T11:57:55.986000","2025-10-06T11:57:55.986000","service_219ddb3d-6563-48e9-aeba-a0667aa26036","service+219ddb3d-6563-48e9-aeba-a0667aa26036@no-reply.base44.com","false"
"ADBE","2025-05-31","quarterly","5873000000","","","","0","1691000000","","","","","","","","","","","","","","","","","","yahoo","2025-10-06","68e3aec3f1c1381a99b99c75","2025-10-06T11:57:55.660000","2025-10-06T11:57:55.660000","service_219ddb3d-6563-48e9-aeba-a0667aa26036","service+219ddb3d-6563-48e9-aeba-a0667aa26036@no-reply.base44.com","false"
"ADBE","2025-08-31","quarterly","5988000000","","","","0","1772000000","","","","","","","","","","","","","","","","","","yahoo","2025-10-06","68e3aec37dda8dde9c720a70","2025-10-06T11:57:55.350000","2025-10-06T11:57:55.350000","service_219ddb3d-6563-48e9-aeba-a0667aa26036","service+219ddb3d-6563-48e9-aeba-a0667aa26036@no-reply.base44.com","false"
"AMZN","2021-12-31","annual","469822000000","","","","0","33364000000","","","","","","","","","","","","","","","","","","yahoo","2025-10-06","68d50d888c58923fecd0f7db","2025-09-25T09:38:16.834000","2025-10-06T11:00:58.608000","service_219ddb3d-6563-48e9-aeba-a0667aa26036","service+219ddb3d-6563-48e9-aeba-a0667aa26036@no-reply.base44.com","false"
"AMZN","2022-12-31","annual","513983000000","","","","0","-2722000000","","","","","","","","","","","","","","","","","","yahoo","2025-10-06","68d50d88b8f3039214e88ad6","2025-09-25T09:38:16.458000","2025-10-06T11:00:58.296000","service_219ddb3d-6563-48e9-aeba-a0667aa26036","service+219ddb3d-6563-48e9-aeba-a0667aa26036@no-reply.base44.com","false"
