ticker_symbol,ticker,asOf,as_of_date,data_source,price_current,eps_ttm,pe_ttm,pe_fwd,pe_fwd_sector,ev_ebitda,ev_ebitda_sector,fcf_yield_pct,peg_5y,pe_12m,pe_24m,pe_36m,pe_5y_low,pe_5y_high,pe_5y_median,current_pe,market_cap,roic_pct,fcf_margin_pct,cfo_to_ni,fcf_to_ebit,accruals_ratio,margin_stdev_5y_pct,buyback_yield_pct,debt_to_equity,netdebt_to_ebitda,interest_coverage_x,eps_cagr_5y_pct,revenue_cagr_5y_pct,eps_cagr_3y_pct,revenue_cagr_3y_pct,moat_score_0_10,recurring_revenue_pct,insider_own_pct,founder_led_bool,gm_trend_5y,riskdownside_score_0_10,beta_5y,maxdrawdown_5y_pct,netcash_to_mktcap_pct,sector_cyc_tag,macrofit_score_0_10,narrative_score_0_10,sharecount_change_5y_pct,sbc_to_sales_pct,proj_growth_rate,proj_years,proj_target_cagr,proj_pe_custom,proj_pe_bear_override,proj_pe_bull_override,proj_pe_mid_override,partial_ttm,revenue_ttm,net_income_ttm,cfo_ttm,capex_ttm,ebit_ttm,ebitda_ttm,total_debt,cash,equity,total_assets,shares_out,interest_expense_ttm,id,created_date,updated_date,created_by_id,created_by,is_sample
"NFLX","NFLX","2025-12-27T17:00:00.000Z","","Chatgpt","94.47","0.587","39.1","30.7","24","24.8","14.8","3.9","1.6","34.1","31.8","35.6","18.5","79.2","41","39.3","","21.5","21.8","1.12","0.95","0.06","6.4","1.1","0.64","0.7","9.8","21.9","11.7","24.6","9.9","7","98","0.4","","","6","1.25","-75","-1.7","Secular Growth","7","8","-2.1","4.6","16","5","15","29","","","","","","","","","","","","","","","","","6950c9b3f46d9d621f80fba5","2025-12-28T06:09:55.941000","2025-12-28T06:25:58.006000","689b401d1bb2cbab644a66ac","gzimm88@gmail.com","false"
"DUOL","DUOL","","2025-11-07","Yahoo Finance / Macrotrends / Finviz","194","2.1","92","70","28","28.6","1.4","1.45","3.25","80","65.3","51.8","45","150","82","92","6.4","16.8","1.1","0.85","8.5","9.1","0","0","-5.3","","24","","42.5","","30.8","5","20","","","0.82","5","0.82","","10","","7","8","8","7.5","12","5","15","25","","","82","true","700000000","150000000","200000000","0","250000000","270000000","0","850000000","900000000","8000000000","90000000","0","6911b7a6b9cd74705bd3b151","2025-11-10T10:00:06.972000","2026-01-21T15:55:26.972000","689b401d1bb2cbab644a66ac","gzimm88@gmail.com","false"
"BA","BA","","2025-11-07","Yahoo Finance / Macrotrends / Finviz","197","-2.1","","","20","82","","-2.69","3.55","0","25.8","23.6","","","","0","-3.5","-4.1","0.75","","-21","11.7","0","400","10","0","-20","5.2","","5.8","","4","25","","true","","3","1.54","6","","5.0","4","4","6","0.6","8","5","7","32","18","32","25","true","82000000000","-3000000000","1000000000","52000000000","2000000000","2500000000","52000000000","13000000000","-17000000000","82000000000","630000000","1200000000","6911b7a6b9cd74705bd3b153","2025-11-10T10:00:06.972000","2025-11-10T10:00:06.972000","689b401d1bb2cbab644a66ac","gzimm88@gmail.com","false"
"SRTS","SRTS","","2025-11-07","Yahoo Finance / Macrotrends / Finviz","3.5","-0.05","","","20","3.1","","-7.64","1.4","0","0","0","","","","","-2.1","-10.5","0.8","","-12.2","13.5","0","0","-5","","-6.5","-12.4","","-8.3","","3","15","","true","","2","0.86","0","","10.0","3","3","4","4","10","5","12","9","0","0","0","true","40000000","-900000","700000","0","10000000","12000000","0","24000000","50000000","40000000","20000000","0","6911b7a6b9cd74705bd3b157","2025-11-10T10:00:06.972000","2025-11-10T10:00:06.972000","689b401d1bb2cbab644a66ac","gzimm88@gmail.com","false"
"JD","JD","","2025-11-07","Yahoo Finance / Macrotrends / Finviz","32","3.25","9.8","8.5","24","3","3.8","22.6","1.05","11.4","10.6","9.9","12","35","22","11.8","7.9","6.5","1.04","0.97","5.1","4","0","25","0.6","27","5.5","6.3","4","4.5","","6","30","","true","","5","0.52","2","","6.5","6","6","3","1.4","8","5","9","8.5","12","35","22","true","150000000000","5700000000","7600000000","15000000000","8000000000","8700000000","15000000000","35000000000","90000000000","60000000000","3200000000","600000000","6911b7a6b9cd74705bd3b154","2025-11-10T10:00:06.972000","2025-11-10T10:00:06.972000","689b401d1bb2cbab644a66ac","gzimm88@gmail.com","false"
"B","B","","2025-11-07","Yahoo Finance / Macrotrends / Finviz","20","0.55","36","28","20","11.8","2.9","5.52","2.6","31.7","29.9","28.2","15","35","23","36","5.3","4.6","1.08","0.89","6.5","3.2","-0.5","90","3","3.2","4.2","2.7","2.8","2","","5","30","","true","","5","1.35","-3","","5.0","6","5","-1","0.7","5","5","6","28","15","35","23","true","1200000000","45000000","110000000","850000000","150000000","180000000","850000000","80000000","300000000","1200000000","50000000","20000000","6911b7a6b9cd74705bd3b156","2025-11-10T10:00:06.972000","2025-11-10T10:00:06.972000","689b401d1bb2cbab644a66ac","gzimm88@gmail.com","false"
"APY","CHX","","2025-11-07","Yahoo Finance / Macrotrends / Finviz","33","1.75","19","17","14","11.85","3.9","8.27","1.88","19.8","18.3","17.1","14","25","19","19.8","11.4","12.1","1.07","0.92","5.7","3.9","-1","","","","","","","","","5","20","","","","6","1.21","","","","7","6","-2","1.1","6","5","6.5","17","14","25","19","true","4200000000","410000000","520000000","130000000","100000000","130000000","130000000","4200000000","4100000000","4100000000","130000000","100000000","6911b7a6b9cd74705bd3b159","2025-11-10T10:00:06.972000","2025-11-10T10:00:06.972000","689b401d1bb2cbab644a66ac","gzimm88@gmail.com","false"
"SPY","SPY","","2025-11-07","Yahoo Finance / Macrotrends / Finviz","670","","24","21","0","","1.3","","1.9","23","22","21","18","28","22","24","","","","","","","","","","","10.3","7.2","9.8","6.8","","","","","true","","9","1","0","","8.0","8","7","0","0","7","5","7","21","18","28","22","true","0","0","0","0","0","0","0","0","0","0","0","0","6911b7a6b9cd74705bd3b155","2025-11-10T10:00:06.972000","2025-11-10T10:00:06.972000","689b401d1bb2cbab644a66ac","gzimm88@gmail.com","false"
"BLK","BLK","","2025-11-07","Yahoo Finance / Macrotrends / Finviz","1070","39","27","24","15","18.66","2.6","3.86","2.08","21.2","20","19.1","14","26","19","27","12.7","31.5","1.01","1","2.9","2.2","-2","35","0.9","18","11.3","6.9","8.7","6.1","","7","50","","true","","8","1.25","-4","","8.0","8","8","-3","1","7","5","7.5","24","14","26","19","true","20000000000","6000000000","8500000000","6000000000","9000000000","9700000000","6000000000","8000000000","35000000000","120000000000","120000000","200000000","6911b7a6b9cd74705bd3b152","2025-11-10T10:00:06.972000","2025-11-10T10:00:06.972000","689b401d1bb2cbab644a66ac","gzimm88@gmail.com","false"
"ADBE","ADBE","","2025-11-07","Yahoo Finance / Macrotrends / Finviz","318","16.05","19.4","15.2","28","15.18","28","7.01","1","18","45","30","18","45","30","20.38","136860000000","27.15","41.41","1.41","1.13","0.44","2.1","4.42","0.57","0.08","34.33","18.45","9.01","9","9","5","93","","true","1.3","1.54","1.27","-52","","9.0","9","8","-20.35","18","12","5","20","18","45","30","","true","23180000000","6960000000","9790000000","193000000","8480000000","9060000000","6660000000","5950000000","11770000000","28754000000","418600000","247000000","6911b7a6b9cd74705bd3b15a","2025-11-10T10:00:06.972000","2025-11-19T22:46:58.400000","689b401d1bb2cbab644a66ac","gzimm88@gmail.com","false"
