Ticker Symbol,Date,Shares,Price,Cost,Type,Currency
NYSE:AZUL,2020-08-25,334.79,14.7101167896,4924.8,Buy,USD
NYSE:AZUL,2021-02-03,128.54,23.5802084954,3031.0,Buy,USD
NYSE:BA,2023-03-24,55.1,181.4882032668,10000.0,Buy,USD
NasdaqGS:MSFT,2023-03-27,254.64,289.2432060949,73652.89,Buy,USD
NasdaqGS:AMZN,2023-04-17,529.51,103.8696153047,55000.0,Buy,USD
NasdaqGS:JD,2023-05-07,1088.56,33.9898581612,37000.0,Buy,USD
NasdaqGS:JD,2023-05-23,137.48,36.3700174571,5000.15,Buy,USD
NasdaqGS:AMZN,2023-05-26,529.51,123.9795471285,65648.41,Sell,USD
NasdaqGS:JD,2023-05-29,396.27,39.6699220229,15720.0,Buy,USD
NasdaqGS:JD,2023-06-16,212.33,35.3694720482,7510.0,Buy,USD
NYSE:RTX,2023-07-10,350.3,85.6408792464,30000.0,Buy,USD
NYSE:RTX,2023-07-17,59.15,84.5308537616,5000.0,Buy,USD
NYSE:GD,2023-07-29,133.76,224.2822966507,30000.0,Buy,USD
NasdaqGS:JD,2023-08-12,1088.56,34.9198574263,38012.36,Sell,USD
NasdaqGS:QCOM,2023-08-12,266.74,112.4690710055,30000.0,Buy,USD
NasdaqGS:QCOM,2023-08-20,43.89,113.9211665527,5000.0,Buy,USD
NasdaqGS:QCOM,2023-08-26,266.74,112.6090575092,30037.34,Sell,USD
NYSE:GD,2023-08-27,45.72,218.7226596675,10000.0,Buy,USD
NasdaqGS:QCOM,2023-08-27,43.89,113.4511278195,4979.37,Sell,USD
NasdaqGS:MSFT,2023-09-05,31.45,317.9650238474,10000.0,Buy,USD
NasdaqGS:MSFT,2023-09-19,31.45,317.9249602544,9998.74,Sell,USD
NYSE:AXP,2023-09-26,265.14649,150.86,39999.9994814,Buy,USD
NYSE:GD,2023-09-26,179.48,239.5074102964,42986.79,Sell,USD
NasdaqGS:MSFT,2023-10-02,254.64,336.1138077286,85588.02,Sell,USD
NYSE:AXP,2023-10-02,33.33,150.0150015002,5000.0,Buy,USD
NYSE:AXP,2023-10-03,69.42,144.0507058485,10000.0,Buy,USD
NYSE:AXP,2023-10-03,69.42,143.6607605877,9972.93,Sell,USD
NYSE:AXP,2023-10-16,33.42,149.6110113704,5000.0,Buy,USD
NYSE:BABA,2023-10-31,229.26,87.2399895315,20000.64,Buy,USD
NYSE:BABA,2023-11-01,126.26,79.2016473943,10000.0,Buy,USD
NYSE:BABA,2023-11-01,125.05,79.9680127949,10000.0,Buy,USD
NYSE:AZUL,2023-11-23,496.86,9.8699834964,4904.0,Buy,USD
NasdaqGS:JD,2023-11-26,392.62,25.4699200245,10000.0,Buy,USD
NYSE:BABA,2023-11-28,70.53,70.8918190841,5000.0,Buy,USD
NYSE:RTX,2023-12-26,409.45,86.0299914519,35224.98,Sell,USD
NYSE:BABA,2024-01-01,71.54,69.8909700867,5000.0,Buy,USD
NasdaqGS:JD,2024-02-12,208.42,23.9900201516,5000.0,Buy,USD
NasdaqGS:GOOGL,2024-02-13,145.6134,137.35,20000.00049,Buy,USD
NasdaqGS:AAPL,2024-02-14,55.56,180.0,10000.8,Buy,USD
NasdaqGS:GOOGL,2024-02-19,75.34,132.7316166711,10000.0,Buy,USD
NasdaqGS:GOOGL,2024-02-22,147.83,135.290536427,20000.0,Buy,USD
NasdaqGS:AAPL,2024-02-28,29.0,172.3337931034,4997.68,Buy,USD
NYSE:BA,2024-02-28,109.68,182.34865062,20000.0,Buy,USD
XTRA:BOSS,2024-03-06,505.96,54.26,27453.3896,Buy,USD
XTRA:BOSS,2024-04-03,94.66,49.51,4686.6166,Buy,USD
NYSE:BA,2024-04-08,30.5,163.9344262295,5000.0,Buy,USD
XTRA:BOSS,2024-04-16,98.95,47.2,4670.44,Buy,USD
ARCA:VOO,2024-06-15,13.00603,502.383,6534.00836949,Buy,USD
XTRA:BOSS,2024-06-23,114.91,40.22,4621.6802,Buy,USD
NYSE:PAYC,2024-06-26,140.85499,141.99,20000.0000301,Buy,USD
NYSE:MOH,2024-07-04,34.13202,292.98,9999.9992196,Buy,USD
ENXTPA:MC,2024-07-16,28.17,654.54,18438.3918,Buy,USD
ARCA:VOO,2024-08-04,7.73,491.5912031048,3800.0,Buy,USD
NYSE:AZUL,2024-08-05,960.19,3.7999979171,3648.72,Sell,USD
ARCA:VOO,2024-08-26,7.44,510.752688172,3800.0,Buy,USD
ENXTPA:MC,2024-08-29,7.35,612.7,4503.345,Buy,USD
NYSE:BABA,2024-09-18,622.64,102.6200051394,63895.32,Sell,USD
NasdaqGS:JD,2024-09-23,1347.12,42.0800002969,56686.81,Sell,USD
ARCA:VOO,2024-09-24,5.36,522.3880597015,2800.0,Buy,USD
ENXTPA:MC,2024-10-07,7.26,630.8,4579.608,Buy,USD
NYSE:MOH,2024-10-09,34.48,290.0232018561,10000.0,Buy,USD
NYSE:MOH,2024-10-14,34.88,286.6972477064,10000.0,Buy,USD
ARCA:VOO,2024-10-28,5.32,526.3157894737,2800.0,Buy,USD
