date,cash,market_value,total_equity,external_flow,daily_return
2020-08-25,-4924.8,4924.799999990185,-9.815266821533442e-09,-4924.8,
2020-08-26,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-08-27,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-08-28,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-08-31,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-01,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-02,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-03,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-04,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-07,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-08,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-09,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-10,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-11,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-14,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-15,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-16,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-17,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-18,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-21,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-22,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-23,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-24,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-25,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-28,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-29,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-09-30,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-01,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-02,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-05,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-06,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-07,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-08,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-09,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-12,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-13,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-14,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-15,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-16,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-19,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-20,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-21,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-22,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-23,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-26,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-27,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-28,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-29,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-10-30,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-02,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-03,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-04,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-05,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-06,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-09,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-10,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-11,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-12,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-13,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-16,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-17,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-18,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-19,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-20,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-23,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-24,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-25,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-26,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-27,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-11-30,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-01,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-02,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-03,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-04,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-07,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-08,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-09,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-10,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-11,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-14,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-15,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-16,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-17,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-18,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-21,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-22,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-23,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-24,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-25,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-28,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-29,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-30,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
2020-12-31,-4924.8,4924.799999990185,-9.815266821533442e-09,0.0,-0.0
