ticker,ticker_symbol,sell_date,sell_row_id,lot_id,matched_shares,entry_date,entry_price,sell_price,entry_fx,sell_fx,local_realized,fx_realized,total_realized
AMZN,NasdaqGS:AMZN,2023-05-26,10,5,529.51,2023-04-17,103.8696153047,123.9795471285,1.0,1.0,10648.410000020336,0.0,10648.410000020336
JD,NasdaqGS:JD,2023-08-12,17,6,1088.56,2023-05-07,33.9898581612,34.9198574263,1.0,1.0,1012.3600000172571,0.0,1012.3600000172571
QCOM,NasdaqGS:QCOM,2023-08-26,21,13,266.74,2023-08-12,112.4690710055,112.6090575092,1.0,1.0,37.339999996938325,0.0,37.339999996938325
QCOM,NasdaqGS:QCOM,2023-08-27,23,14,43.89,2023-08-20,113.9211665527,113.4511278195,1.0,1.0,-20.630000000147962,0.0,-20.630000000147962
MSFT,NasdaqGS:MSFT,2023-09-19,25,4,31.45,2023-03-27,289.2432060949,317.9249602544,1.0,1.0,902.0411683162741,0.0,902.0411683162741
GD,NYSE:GD,2023-09-26,27,12,133.76,2023-07-29,224.2822966507,239.5074102964,1.0,1.0,2036.5112012488307,0.0,2036.5112012488307
GD,NYSE:GD,2023-09-26,27,15,45.72,2023-08-27,218.7226596675,239.5074102964,1.0,1.0,950.2787987533073,0.0,950.2787987533073
MSFT,NasdaqGS:MSFT,2023-10-02,28,4,223.19,2023-03-27,289.2432060949,336.1138077286,1.0,1.0,10461.049578625503,0.0,10461.049578625503
MSFT,NasdaqGS:MSFT,2023-10-02,28,16,31.45,2023-09-05,317.9650238474,336.1138077286,1.0,1.0,570.7792530637404,0.0,570.7792530637404
AXP,NYSE:AXP,2023-10-03,30,17,69.42,2023-09-26,150.86,143.6607605877,1.0,1.0,-499.77120000186716,0.0,-499.77120000186716
RTX,NYSE:RTX,2023-12-26,42,10,350.3,2023-07-10,85.6408792464,86.0299914519,1.0,1.0,136.3060055866494,0.0,136.3060055866494
RTX,NYSE:RTX,2023-12-26,42,11,59.15,2023-07-17,84.5308537616,86.0299914519,1.0,1.0,88.67399438124515,0.0,88.67399438124515
AZUL,NYSE:AZUL,2024-08-05,70,1,334.79,2020-08-25,14.7101167896,3.7999979171,1.0,1.0,-3652.5986973242752,0.0,-3652.5986973242752
AZUL,NYSE:AZUL,2024-08-05,70,2,128.54,2021-02-03,23.5802084954,3.7999979171,1.0,1.0,-2542.5482677346818,0.0,-2542.5482677346818
AZUL,NYSE:AZUL,2024-08-05,70,24,496.86,2023-11-23,9.8699834964,3.7999979171,1.0,1.0,-3015.933034930998,0.0,-3015.933034930998
BABA,NYSE:BABA,2024-09-18,76,21,229.26,2023-10-31,87.2399895315,102.6200051394,1.0,1.0,3526.022378267155,0.0,3526.022378267155
BABA,NYSE:BABA,2024-09-18,76,22,125.05,2023-11-01,79.9680127949,102.6200051394,1.0,1.0,2832.6316426797252,0.0,2832.6316426797252
BABA,NYSE:BABA,2024-09-18,76,23,126.26,2023-11-01,79.2016473943,102.6200051394,1.0,1.0,2956.8018488963276,0.0,2956.8018488963276
BABA,NYSE:BABA,2024-09-18,76,26,70.53,2023-11-28,70.8918190841,102.6200051394,1.0,1.0,2237.7889624803092,0.0,2237.7889624803092
BABA,NYSE:BABA,2024-09-18,76,27,71.54,2024-01-01,69.8909700867,102.6200051394,1.0,1.0,2341.4351676701585,0.0,2341.4351676701585
JD,NasdaqGS:JD,2024-09-23,77,7,137.48,2023-05-23,36.3700174571,42.0800002969,1.0,1.0,785.0084408157047,0.0,785.0084408157047
JD,NasdaqGS:JD,2024-09-23,77,8,396.27,2023-05-29,39.6699220229,42.0800002969,1.0,1.0,955.0417176379799,0.0,955.0417176379799
JD,NasdaqGS:JD,2024-09-23,77,9,212.33,2023-06-16,35.3694720482,42.0800002969,1.0,1.0,1424.8464630464714,0.0,1424.8464630464714
JD,NasdaqGS:JD,2024-09-23,77,25,392.62,2023-11-26,25.4699200245,42.0800002969,1.0,1.0,6521.44971654969,0.0,6521.44971654969
JD,NasdaqGS:JD,2024-09-23,77,28,208.42,2024-02-12,23.9900201516,42.0800002969,1.0,1.0,3770.313661883424,0.0,3770.313661883424
BA,NYSE:BA,2024-12-24,94,3,55.1,2023-03-24,181.4882032668,179.9399836133,1.0,1.0,-85.30690290785071,0.0,-85.30690290785071
BA,NYSE:BA,2024-12-24,94,34,109.68,2024-02-28,182.34865062,179.9399836133,1.0,1.0,-264.182597294856,0.0,-264.182597294856
BA,NYSE:BA,2024-12-24,94,37,30.5,2024-04-08,163.9344262295,179.9399836133,1.0,1.0,488.1695002059003,0.0,488.1695002059003
NESN,SWX:NESN,2025-03-03,103,55,232.66,2024-12-06,75.62,89.3000085962,1.0,1.0,3182.790799991891,0.0,3182.790799991891
MC,ENXTPA:MC,2025-03-09,104,43,28.17,2024-07-16,654.54,632.3699059561,1.0,1.0,-624.5315492166633,0.0,-624.5315492166633
MC,ENXTPA:MC,2025-03-09,104,46,7.35,2024-08-29,612.7,632.3699059561,1.0,1.0,144.57380877733434,0.0,144.57380877733434
MC,ENXTPA:MC,2025-03-09,104,48,7.26,2024-10-07,630.8,632.3699059561,1.0,1.0,11.397517241286009,0.0,11.397517241286009
MC,ENXTPA:MC,2025-03-09,104,52,8.26,2024-11-06,570.9,632.3699059561,1.0,1.0,507.7414231973857,0.0,507.7414231973857
AAPL,NasdaqGS:AAPL,2025-03-10,106,30,55.56,2024-02-14,180.0,220.4200567644,1.0,1.0,2245.7383538300633,0.0,2245.7383538300633
