metric,value
base_currency,USD
as_of_date,2026-02-24
cash_balance,-800.0
market_value,2116.639892578125
total_equity,1316.639892578125
total_realized_pnl,0
total_unrealized_pnl,1316.639892578125
total_return,1316.639892578125
time_weighted_return,-0.031939432277223734
money_weighted_return_irr,2728.5473808942306
annualized_return,-0.4027850813935576
max_drawdown,-0.1254210473293177
volatility,0.4737171218885896
turnover,0.0
local_realized,0
fx_realized,0
local_unrealized,1316.639892578125
fx_unrealized,0.0
