ticker,year,realized_pnl
AAPL,2025,3640.2399999990625
AMZN,2023,10648.410000020336
ASML,2026,24997.4353733184
AXP,2023,-499.77120000186716
AZUL,2024,-9211.079999989955
BA,2024,138.68000000319358
BABA,2024,13894.679999993677
BOSS,2025,-14163.336399991125
EFX,2026,-334.2500000000001
GD,2023,2986.790000002138
GOLD,2025,9645.680000009204
JD,2023,1012.3600000172571
JD,2024,13456.659999933268
MC,2025,39.18119999934271
MSFT,2023,11933.870000005518
NESN,2025,3182.790799991891
QCOM,2023,16.709999996790362
RTX,2023,224.97999996789457
VOO,2025,2109.336218424994
