Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
GOOGL,314.98,2026/02/20,16:00 EST,12.13,304.1,316.5,303.9,51937895,20240214,137.35,145.6134,0.0,,,,
GOOGL,314.98,2026/02/20,16:00 EST,12.13,304.1,316.5,303.9,51937895,20250904,227.75,50.0,0.0,,,,
GOOGL,314.98,2026/02/20,16:00 EST,12.13,304.1,316.5,303.9,51937895,20240223,135.290536427,147.83,0.0,,,,
GOOGL,314.98,2026/02/20,16:00 EST,12.13,304.1,316.5,303.9,51937895,20240220,132.7316166711,75.34,0.0,,,,
GOOGL,314.98,2026/02/20,16:00 EST,12.13,304.1,316.5,303.9,51937895,20250528,173.859,115.0357,0.0,,,,
GOOGL,314.98,2026/02/20,16:00 EST,12.13,304.1,316.5,303.9,51937895,20250319,162.6228655066,61.49,0.0,,,,
GOOGL,314.98,2026/02/20,16:00 EST,12.13,304.1,316.5,303.9,51937895,20250311,165.6177542233,60.38,0.0,,,,
GOOGL,314.98,2026/02/20,16:00 EST,12.13,304.1,316.5,303.9,51937895,20250406,144.62,70.0,0.0,,,,
ASML.AS,1255.6,2026/02/20,17:37 CET,17.400024,1242.0,1262.0,1228.6,565504,20250528,661.3,45.3651,0.0,,,,
ASML.AS,1255.6,2026/02/20,17:37 CET,17.400024,1242.0,1262.0,1228.6,565504,20250425,583.6,28.78,0.0,,,,
ASML.AS,1255.6,2026/02/20,17:37 CET,17.400024,1242.0,1262.0,1228.6,565504,20250901,638.3125,16.0,0.0,,,,
ASML.AS,1255.6,2026/02/20,17:37 CET,17.400024,1242.0,1262.0,1228.6,565504,20250416,580.752886836,8.66,0.0,,,,
ASML.AS,1255.6,2026/02/20,17:37 CET,17.400024,1242.0,1262.0,1228.6,565504,20250407,574.0,34.8432,0.0,,,,
ASML.AS,1255.6,2026/02/20,17:37 CET,17.400024,1242.0,1262.0,1228.6,565504,20250422,552.6,19.0,0.0,,,,
ASML.AS,1255.6,2026/02/20,17:37 CET,17.400024,1242.0,1262.0,1228.6,565504,20250704,657.9,15.1998,0.0,,,,
AXP,346.18,2026/02/20,16:00 EST,3.53,341.55,346.25,338.5,1804889,20231003,150.0150015002,33.33,0.0,,,,
AXP,346.18,2026/02/20,16:00 EST,3.53,341.55,346.25,338.5,1804889,20230927,150.86,195.72649,0.0,,,,
AXP,346.18,2026/02/20,16:00 EST,3.53,341.55,346.25,338.5,1804889,20231004,144.0507058485,69.42,0.0,,,,
AXP,346.18,2026/02/20,16:00 EST,3.53,341.55,346.25,338.5,1804889,20231017,149.6110113704,33.42,0.0,,,,
CRM,185.16,2026/02/20,16:00 EST,-0.12999,185.32,191.73,183.73,10716311,20250617,262.84,152.1867,0.0,,,,
CRM,185.16,2026/02/20,16:00 EST,-0.12999,185.32,191.73,183.73,10716311,20250715,260.16,19.2189,0.0,,,,
CRM,185.16,2026/02/20,16:00 EST,-0.12999,185.32,191.73,183.73,10716311,20250904,241.86,21.0,0.0,,,,
ADBE,258.61,2026/02/20,16:00 EST,-0.600006,255.0,262.08,254.36,5803054,20250915,356.1,20.0,0.0,,,,
ADBE,258.61,2026/02/20,16:00 EST,-0.600006,255.0,262.08,254.36,5803054,20251210,344.0,14.5348,0.0,,,,
ADBE,258.61,2026/02/20,16:00 EST,-0.600006,255.0,262.08,254.36,5803054,20251016,331.32,15.0,0.0,,,,
ADBE,258.61,2026/02/20,16:00 EST,-0.600006,255.0,262.08,254.36,5803054,20260127,303.6,34.0,0.0,,,,
ADBE,258.61,2026/02/20,16:00 EST,-0.600006,255.0,262.08,254.36,5803054,20250917,355.64,50.0,0.0,,,,
ADBE,258.61,2026/02/20,16:00 EST,-0.600006,255.0,262.08,254.36,5803054,20260116,303.58,20.0,0.0,,,,
ADBE,258.61,2026/02/20,16:00 EST,-0.600006,255.0,262.08,254.36,5803054,20260129,288.33,18.0,0.0,,,,
ADBE,258.61,2026/02/20,16:00 EST,-0.600006,255.0,262.08,254.36,5803054,20251110,328.02,14.8,0.0,,,,
ADBE,258.61,2026/02/20,16:00 EST,-0.600006,255.0,262.08,254.36,5803054,20251120,318.5,15.0,0.0,,,,
MOH,151.0,2026/02/20,16:00 EST,2.75999,145.925,151.09,142.07,2018457,20241010,290.0232018561,34.48,0.0,,,,
MOH,151.0,2026/02/20,16:00 EST,2.75999,145.925,151.09,142.07,2018457,20250702,256.8805,38.9286,0.0,,,,
MOH,151.0,2026/02/20,16:00 EST,2.75999,145.925,151.09,142.07,2018457,20240705,292.98,34.13202,0.0,,,,
MOH,151.0,2026/02/20,16:00 EST,2.75999,145.925,151.09,142.07,2018457,20250611,294.0201,34.0112,0.0,,,,
MOH,151.0,2026/02/20,16:00 EST,2.75999,145.925,151.09,142.07,2018457,20250217,270.18,36.0,0.0,,,,
MOH,151.0,2026/02/20,16:00 EST,2.75999,145.925,151.09,142.07,2018457,20241015,286.6972477064,34.88,0.0,,,,
UNH,290.0,2026/02/20,16:00 EST,0.0700073,288.9,290.785,285.55,6060613,20251210,324.43,15.4115,0.0,,,,
UNH,290.0,2026/02/20,16:00 EST,0.0700073,288.9,290.785,285.55,6060613,20250917,341.47,45.0,0.0,,,,
UNH,290.0,2026/02/20,16:00 EST,0.0700073,288.9,290.785,285.55,6060613,20251103,331.54,15.0,0.0,,,,
UNH,290.0,2026/02/20,16:00 EST,0.0700073,288.9,290.785,285.55,6060613,20250922,340.47,15.0,0.0,,,,
UNH,290.0,2026/02/20,16:00 EST,0.0700073,288.9,290.785,285.55,6060613,20251121,321.86,16.0,0.0,,,,
